area,bedrooms,bathrooms,age,distance,school,price
228.8,3,4,23.9,16.3,2,290.92
103.0,1,1,16.0,21.4,10,213.97
111.3,1,4,11.4,24.1,9,252.05
243.0,1,1,4.3,10.3,9,299.29
102.3,1,2,4.9,8.0,9,243.99
127.7,1,4,28.2,9.5,9,287.9
84.2,5,1,5.4,13.9,3,206.44
183.5,1,3,1.9,8.3,9,336.83
80.8,5,2,3.8,24.6,8,268.47
64.6,3,3,19.4,9.3,8,265.26
74.2,5,2,24.9,17.4,8,242.27
63.8,1,4,23.3,7.4,4,174.51
83.7,4,3,9.7,22.6,8,224.73
211.3,2,3,22.8,9.4,10,362.4
126.3,2,4,22.3,16.8,3,193.6
73.6,3,4,7.9,14.1,5,241.44
96.9,2,1,8.0,14.8,7,168.03
115.8,4,3,2.9,19.4,8,299.61
231.7,5,2,12.7,16.6,1,330.84
52.1,5,3,3.9,14.9,10,258.6
132.9,4,4,10.2,1.9,4,294.29
238.4,3,1,23.4,20.0,9,279.88
105.4,3,1,16.7,5.5,1,187.24
244.5,4,2,18.2,5.1,5,356.87
66.9,4,2,3.2,7.5,7,277.56
152.7,2,4,19.7,9.2,6,299.64
113.6,4,3,14.6,8.8,5,295.2
54.4,3,3,25.1,12.2,6,198.43
104.7,4,3,6.5,2.3,7,335.27
179.1,5,3,29.4,15.8,9,305.09
244.9,5,3,14.7,16.9,6,404.01
222.7,2,3,28.9,24.1,9,369.25
154.1,4,1,27.8,24.5,1,139.71
151.6,5,2,15.4,20.0,5,261.67
205.2,4,2,16.8,21.2,6,266.63
156.5,5,2,4.6,14.2,3,299.47
195.7,2,1,24.1,21.8,5,226.85
85.8,3,3,3.8,5.0,1,156.43
200.3,2,4,19.2,12.8,9,369.19
152.9,5,1,14.0,18.9,3,218.23
230.0,2,1,14.1,2.4,6,286.4
212.7,3,3,22.7,4.9,4,303.13
223.8,1,4,19.9,5.8,3,314.81
148.9,3,2,16.1,21.9,7,275.85
141.9,3,2,29.1,16.1,8,274.67
146.4,2,2,3.5,2.9,10,311.54
187.6,1,2,6.1,11.4,7,348.87
179.6,3,3,22.2,10.6,8,332.91
154.2,3,3,14.6,4.3,3,216.43
141.2,5,1,27.9,17.1,6,208.98
201.0,1,4,14.1,14.1,9,362.66
212.7,3,1,2.4,2.0,9,311.71
234.5,5,1,11.6,16.5,10,402.53
158.2,2,3,4.0,3.5,2,262.57
83.6,3,1,29.2,19.0,2,110.33
196.5,3,2,9.2,12.3,6,273.94
193.4,4,2,12.0,13.3,6,285.14
169.1,4,2,23.1,15.1,10,326.4
126.3,5,1,15.0,6.2,1,176.38
108.9,5,3,8.0,11.4,10,320.24
55.3,5,2,28.6,3.9,6,234.64
160.9,4,4,24.2,20.2,7,267.88
130.2,1,2,5.9,7.3,3,155.7
66.9,2,1,6.6,21.2,9,163.47
73.1,4,1,10.7,22.2,8,205.31
236.8,2,4,1.4,3.2,2,332.84
105.8,1,3,18.5,2.0,5,266.44
159.3,5,2,14.9,2.3,6,344.48
95.7,4,4,2.6,1.8,7,319.89
185.0,2,2,7.1,14.4,9,313.39
201.3,4,3,29.5,16.7,8,344.75
199.6,2,2,24.7,12.4,3,255.44
187.3,3,2,14.8,3.8,1,269.94
189.6,4,3,15.4,9.5,10,364.74
54.2,3,2,3.5,22.1,5,130.72
248.8,2,3,22.4,1.3,1,299.9
118.5,2,4,17.7,6.8,8,293.21
240.9,4,1,2.0,1.1,9,392.3
112.2,4,3,0.6,15.6,3,216.53
138.8,1,1,6.8,8.8,2,205.28
219.2,3,4,23.1,18.5,5,316.9
132.1,3,3,24.5,3.4,9,352.09
56.1,2,3,21.4,19.2,7,177.64
115.1,1,2,11.6,15.4,9,264.87
128.9,5,3,27.4,13.9,7,275.52
234.4,2,2,15.3,1.9,10,361.79
215.0,3,2,25.4,17.1,3,232.42
149.4,1,3,22.1,20.2,9,255.64
117.5,3,4,6.8,17.6,9,342.79
152.2,5,3,25.0,9.4,7,277.5
155.2,1,4,15.8,10.3,6,306.61
161.8,4,3,25.9,21.8,1,177.35
71.4,2,2,14.7,10.4,3,143.39
56.2,1,1,3.5,10.5,8,180.65
170.3,5,1,12.5,8.7,1,257.74
118.4,2,4,18.8,3.4,2,247.25
215.3,2,4,10.2,5.3,2,316.0
143.3,1,4,22.6,4.1,1,241.91
187.2,4,1,13.3,2.5,8,329.52
59.4,2,4,19.2,7.1,9,262.33
154.8,4,1,10.5,5.1,3,220.56
101.6,4,1,20.8,9.8,2,150.35
132.1,1,3,9.6,21.6,10,239.03
171.0,2,4,7.6,14.3,5,332.95
155.5,3,4,22.2,21.9,4,235.76
168.1,2,3,24.4,8.4,5,228.44
112.3,5,2,0.1,5.8,10,325.87
234.2,1,3,12.2,11.2,8,362.77
171.7,1,3,26.1,24.8,8,208.64
121.7,3,4,22.1,20.0,8,249.43
52.0,4,4,1.3,1.6,5,244.88
60.9,3,4,7.8,8.2,5,231.89
50.4,2,1,2.3,5.2,6,240.43
157.9,1,1,8.7,3.6,7,234.84
95.9,1,1,23.8,2.7,10,253.18
57.4,4,1,22.7,21.7,7,125.24
234.5,5,4,5.7,2.2,5,450.23
247.0,2,4,21.5,2.6,10,452.84
132.5,4,4,19.1,4.5,1,259.43
209.3,4,2,8.1,18.8,9,383.69
174.3,2,3,4.8,20.2,5,274.52
143.3,1,3,11.7,2.8,1,229.46
123.4,1,3,16.6,5.7,5,262.67
72.2,5,1,20.7,12.1,6,218.76
207.3,2,2,4.5,14.3,2,231.84
144.2,2,2,22.8,23.5,8,238.67
62.9,5,2,18.7,7.9,9,289.5
219.5,2,3,14.2,23.1,5,288.95
80.4,4,4,26.7,23.8,2,174.24
243.5,4,1,14.4,7.8,3,326.51
244.3,1,1,8.7,11.4,4,242.49
52.3,3,2,0.8,21.2,2,83.81
100.6,5,4,20.5,14.0,10,323.45
185.2,4,4,20.7,2.5,6,388.9
224.8,2,3,16.6,13.6,7,287.85
177.3,1,4,14.0,17.4,10,307.99
57.9,2,4,12.1,18.1,6,216.39
98.6,2,2,8.3,6.1,1,175.45
74.3,5,4,10.5,10.5,3,265.67
110.3,3,4,8.6,20.7,9,245.11
136.5,1,4,11.3,9.8,4,219.36
164.6,4,3,23.2,24.5,4,214.65
196.3,3,1,25.7,18.8,3,228.46
194.4,2,3,18.7,12.2,8,323.9
58.6,3,3,20.8,16.1,5,200.36
117.2,1,4,26.7,13.3,6,189.3
133.8,1,3,3.6,2.3,3,251.22
165.4,3,2,8.0,17.2,1,238.31
185.9,2,3,23.3,7.7,9,327.98
64.9,5,2,8.0,7.4,1,114.3
85.9,1,3,12.1,14.4,1,145.95
60.9,1,1,18.8,16.2,1,71.81
54.2,1,1,17.8,3.6,1,120.47
81.2,2,2,1.2,11.9,4,230.61
57.2,5,4,13.5,13.7,2,265.27
130.0,1,1,9.2,6.7,2,138.4
66.0,2,1,7.4,6.8,1,153.83
176.0,1,1,9.3,10.4,8,270.01
242.8,4,4,3.0,22.8,3,349.6
59.0,2,4,13.2,13.3,2,154.23
206.5,5,4,14.2,21.8,8,355.49
192.1,2,2,17.8,13.2,4,243.38
89.3,1,2,29.7,17.4,2,95.83
161.6,1,2,24.4,21.6,10,239.22
169.8,3,4,27.8,17.0,8,316.18
159.0,3,1,12.7,24.2,4,174.94
213.2,1,4,15.0,19.9,9,360.57
113.3,4,2,7.6,18.4,3,249.36
103.2,4,2,11.3,6.4,7,258.45
212.4,5,1,29.8,21.6,3,253.1
53.0,2,3,4.6,4.7,5,222.57
94.7,4,1,23.5,17.4,10,236.62
176.7,3,1,11.5,22.0,2,167.3
184.1,4,1,9.0,8.5,8,312.99
232.0,1,1,7.0,19.0,3,226.57
168.3,4,2,29.6,12.3,3,255.28
233.1,4,1,19.3,4.2,10,370.87
68.8,5,3,12.0,11.9,1,206.83
83.3,2,4,29.9,17.6,7,189.83
102.0,2,4,8.9,10.5,6,246.0
222.0,1,1,6.0,23.6,6,274.26
246.2,1,4,5.8,22.2,8,375.96
243.2,4,1,28.8,4.0,5,333.2
64.5,3,3,1.1,21.8,7,244.74
246.1,1,1,9.7,6.2,7,336.23
175.5,1,2,5.3,1.0,2,263.62
120.9,2,1,11.0,18.2,2,141.44
170.2,3,1,24.2,24.7,5,250.77
73.2,1,2,24.3,24.8,7,129.27
95.4,2,1,27.1,4.1,3,152.3
238.3,5,4,6.1,20.0,9,393.87
107.8,1,3,9.1,5.1,7,260.64
153.9,3,3,20.4,7.1,8,269.38
64.1,2,4,9.3,18.6,8,244.39
130.8,1,3,24.9,23.1,8,239.76
128.3,1,3,10.2,7.8,7,280.13
122.9,4,1,17.1,2.2,7,269.55
90.7,4,2,11.7,21.3,8,242.17
71.9,5,4,8.4,7.9,10,313.12
225.5,4,2,0.8,11.0,4,379.69
213.9,2,4,11.7,17.3,1,250.63
168.5,4,3,2.4,18.4,9,340.23
61.6,5,2,1.3,23.7,4,167.88
86.1,5,4,12.3,9.0,10,325.37
149.6,1,1,0.8,14.6,10,265.63
54.5,2,2,5.0,1.3,8,208.76
53.4,1,4,28.8,4.5,10,218.21
247.8,5,2,1.5,10.1,3,358.25
105.3,3,2,1.9,12.2,8,251.88
127.0,2,2,18.8,3.7,8,325.71
230.6,4,2,2.5,3.2,6,390.69
248.9,3,3,13.3,20.0,7,333.12
137.8,3,2,1.9,23.1,10,290.4
83.7,2,4,21.2,13.2,10,265.71
81.4,2,4,25.1,6.3,4,228.32
225.6,3,4,2.7,17.0,3,328.29
177.7,5,3,4.5,5.3,8,379.67
241.4,4,2,14.1,12.7,7,379.87
93.4,3,2,12.9,20.1,7,219.17
50.8,1,1,8.8,15.7,5,106.05
132.2,5,4,28.8,21.1,9,294.13
233.5,1,4,18.9,18.1,6,354.87
73.0,3,1,29.2,3.7,4,207.42
135.7,3,1,16.6,21.0,8,237.71
152.3,1,3,24.9,19.7,10,208.58
53.1,1,1,17.3,24.0,6,121.44
192.4,3,3,9.3,2.6,2,368.74
119.7,2,2,22.7,2.2,3,209.24
120.2,5,1,25.6,15.6,3,239.06
160.0,5,1,8.5,15.5,4,240.74
226.2,3,2,6.6,16.0,4,277.54
201.5,5,3,25.6,3.3,9,367.45
115.3,3,2,8.1,8.3,9,315.56
246.9,5,1,22.0,9.9,9,378.82
220.0,4,2,22.7,5.4,5,313.48
65.2,5,4,21.2,7.3,6,308.38
129.8,2,3,14.8,9.7,7,249.34
132.9,4,1,19.4,16.8,4,192.11
64.9,5,1,27.7,6.3,1,127.05
138.7,2,4,19.6,2.7,1,250.76
111.7,3,1,15.6,20.8,4,142.14
59.2,4,3,12.7,6.5,5,203.09
87.7,5,3,28.5,18.5,2,145.14
235.0,3,4,13.1,3.7,8,413.35
79.1,3,4,12.0,2.9,3,298.38
52.5,5,3,16.4,4.1,6,252.84
214.4,1,2,20.2,22.4,8,268.83
138.8,1,4,11.4,13.3,9,247.49
100.7,5,4,23.2,3.9,10,297.34
179.5,3,4,10.2,11.3,6,345.48
121.9,3,2,27.4,18.4,7,183.34
194.7,5,3,5.6,10.4,3,335.13
102.3,3,4,2.0,11.9,9,322.1
176.7,1,2,4.2,2.7,2,243.26
138.6,2,1,6.1,8.8,6,267.33
145.0,4,4,15.2,24.9,6,279.07
188.8,3,4,17.6,1.7,7,341.37
233.9,2,2,4.2,3.1,8,356.57
224.4,3,3,23.0,24.6,5,294.96
73.7,5,2,15.0,13.3,4,254.17
130.8,4,3,14.5,8.4,8,318.03
83.1,3,3,4.1,24.7,9,249.23
228.0,4,4,3.4,5.2,8,426.15
208.8,3,2,24.7,14.7,7,348.81
105.8,5,2,9.3,23.3,4,238.74
215.9,2,3,17.3,22.1,9,260.8
230.1,2,1,19.1,17.7,6,274.04
200.7,3,1,23.4,8.8,9,291.61
126.5,2,4,2.2,4.3,3,315.14
109.6,2,4,11.1,2.7,7,302.2
86.0,5,3,16.2,9.6,10,319.27
211.9,1,3,4.4,21.2,7,288.16
120.8,5,3,12.9,8.8,2,294.49
94.5,1,1,13.6,8.5,7,182.65
115.3,3,3,13.5,5.3,3,250.58
157.3,2,1,28.1,5.1,7,265.78
193.5,3,1,15.6,13.5,4,254.58
91.8,3,1,20.8,3.7,10,297.27
75.4,4,3,9.8,22.0,5,185.38
102.7,4,3,9.2,9.4,10,306.2
242.0,5,3,27.0,20.3,6,333.51
171.7,2,1,13.9,19.2,4,191.91
192.2,1,2,20.7,11.6,1,193.76
78.6,4,1,9.5,13.5,7,188.48
60.5,1,2,23.2,21.7,8,128.82
97.7,5,2,23.9,12.4,4,225.08
140.8,4,2,0.8,1.2,1,206.06
139.3,2,2,12.6,20.7,6,199.22
81.8,3,2,12.6,14.2,1,151.4
108.0,1,4,4.7,3.1,3,259.0
83.6,1,3,4.5,2.8,6,211.0
208.7,2,4,0.6,14.5,2,305.43
155.0,5,3,16.2,14.8,4,239.29
167.6,1,4,14.3,15.5,4,249.83
240.1,4,3,15.0,23.6,7,367.25
125.7,4,4,9.1,7.4,8,344.74
168.9,5,2,15.0,13.1,2,235.92
136.4,1,2,27.2,22.2,4,160.68
127.8,5,4,28.8,10.1,3,243.4
237.5,3,3,22.4,7.7,6,367.38
248.3,4,4,20.0,6.2,4,345.05
201.5,4,4,20.6,5.5,5,370.9
101.4,1,1,3.6,13.1,4,169.38
86.8,1,3,9.3,17.0,5,209.87
165.2,3,2,5.4,11.0,9,289.83
191.5,3,3,20.8,16.9,2,255.83
140.9,4,4,10.5,20.2,8,299.95
175.8,4,3,3.3,8.4,8,339.26
75.7,4,1,1.6,3.0,1,181.04
127.9,2,4,17.9,6.0,8,289.9
181.3,4,4,18.3,2.7,7,351.07
89.4,4,3,16.4,19.9,10,246.21
152.4,3,1,18.5,15.3,8,193.71
215.1,3,4,26.5,4.3,6,338.1
196.9,5,1,1.3,11.7,9,337.79
236.4,1,4,24.3,4.9,10,435.27
119.1,3,1,9.1,15.3,8,283.45
109.4,2,3,5.0,14.7,1,183.94
145.6,2,4,9.4,9.4,10,351.72
59.5,4,4,24.7,18.4,8,218.26
117.4,3,4,20.8,15.2,7,286.38
242.8,2,3,17.0,3.8,8,414.46
206.6,1,4,16.6,13.1,8,319.0
164.6,2,3,20.8,4.1,3,303.68
246.4,3,1,18.9,24.4,6,321.1
137.7,1,3,5.9,6.0,2,256.37
212.5,2,1,12.2,14.1,10,296.8
152.9,1,4,29.2,2.9,1,217.68
102.3,1,1,7.1,8.8,3,155.47
123.3,1,1,10.6,5.4,10,284.02
148.2,4,3,13.5,13.2,8,306.21
64.8,5,1,1.3,24.4,3,150.28
56.3,2,1,12.9,20.0,8,170.34
75.3,2,4,23.4,4.8,9,246.95
191.9,2,1,20.7,9.4,4,257.66
130.2,5,1,7.9,19.3,4,276.41
87.8,4,1,1.0,3.2,3,272.61
60.0,4,4,26.8,3.8,1,234.8
179.5,3,2,21.2,14.1,6,276.02
184.5,1,1,7.5,9.7,7,264.0
62.8,4,3,21.0,7.0,2,204.74
70.0,3,4,19.8,21.4,3,207.74
58.8,2,3,23.0,24.3,9,177.03
69.6,2,2,25.7,4.3,6,205.48
71.8,1,2,17.1,18.9,3,136.38
248.2,3,2,3.6,6.5,8,389.47
196.0,2,1,0.4,20.0,4,271.13
140.1,5,4,3.6,15.7,6,298.81
88.7,5,3,10.8,24.7,2,194.54
132.1,4,2,16.5,8.9,1,176.12
71.4,3,4,13.8,3.5,7,282.7
220.3,1,1,26.7,22.0,9,243.82
103.1,3,3,16.6,23.5,5,173.73
147.7,5,2,8.2,1.7,9,332.19
93.9,5,3,6.6,24.8,5,236.16
176.5,1,1,14.7,2.6,5,247.14
145.8,3,2,1.0,21.8,1,197.15
193.6,1,1,10.3,22.2,6,200.6
227.0,1,1,17.0,21.1,7,249.42
99.4,3,4,15.8,4.7,4,269.43
112.2,4,4,8.6,9.7,5,248.73
54.7,2,2,11.5,10.1,1,106.76
62.0,1,1,16.6,11.6,4,177.51
201.3,1,1,10.3,6.2,10,331.16
223.0,1,1,2.9,4.2,8,347.33
76.3,3,3,16.9,19.2,5,207.89
124.8,5,2,19.6,19.9,2,223.56
51.0,2,4,8.0,7.4,9,321.16
73.2,4,3,19.0,10.5,7,271.26
73.5,2,3,18.1,23.6,7,143.08
176.0,4,4,17.2,9.6,2,281.99
108.9,2,1,21.7,13.0,8,207.17
243.7,2,3,24.6,8.8,6,346.68
61.7,5,2,1.1,6.2,6,253.71
104.6,2,3,4.5,22.5,8,238.16
143.6,2,3,8.3,1.4,2,260.4
109.6,2,1,10.2,10.7,2,202.81
245.5,1,4,10.1,5.0,9,413.15
179.6,5,3,28.5,11.3,10,371.54
125.8,2,3,25.0,8.0,3,201.89
184.3,5,3,21.9,16.8,8,347.63
124.7,4,1,12.2,10.1,6,257.13
51.3,2,4,9.9,3.1,8,277.3
176.7,5,4,10.7,13.4,5,349.55
160.3,2,4,28.4,13.5,9,302.56
219.5,4,3,23.8,9.7,1,280.57
204.0,2,3,17.6,21.8,1,239.8
148.3,2,4,25.7,2.8,2,252.72
146.6,3,4,2.3,2.1,5,350.38
159.4,3,4,15.9,9.1,3,316.54
210.9,2,3,27.7,15.5,10,397.44
89.2,2,2,26.3,16.0,4,142.76
70.7,5,3,3.0,2.7,10,333.59
77.8,4,3,27.6,4.4,7,255.37
249.2,1,3,26.6,18.4,2,261.87
93.7,5,3,21.2,10.2,5,300.82
204.3,4,2,27.7,1.8,6,359.49
114.7,5,4,8.0,4.5,4,293.9
176.9,5,4,3.0,17.2,3,305.39
194.9,3,3,23.0,23.3,2,261.85
91.0,2,3,16.9,7.0,9,240.62
197.9,5,1,1.5,8.5,8,370.28
97.9,3,4,9.3,9.6,7,300.1
185.4,5,1,4.1,23.4,5,242.54
65.0,4,1,23.3,3.5,1,146.88
212.8,5,1,1.3,8.8,2,319.77
102.3,2,2,0.9,14.6,5,234.25
112.0,3,4,22.7,8.1,9,320.03
127.3,4,1,29.3,10.3,7,194.85
204.1,1,3,10.8,18.6,2,251.92
104.2,2,1,4.6,8.3,2,165.65
69.5,3,1,11.1,7.6,9,216.87
166.0,1,3,5.0,1.9,7,253.01
175.8,1,1,4.0,3.6,6,256.66
145.6,5,4,19.2,21.7,5,241.61
60.0,4,4,3.4,19.0,7,246.25
248.0,3,1,19.2,22.2,6,257.74
192.1,2,1,28.6,7.7,10,275.77
173.3,5,4,17.6,3.2,1,320.27
115.2,5,4,27.7,24.6,5,220.01
235.0,4,1,16.9,13.0,5,292.29
142.4,3,2,16.5,21.1,10,263.47
131.1,2,3,13.7,16.6,9,253.69
193.7,1,3,27.1,23.0,7,261.56
198.5,2,3,22.9,19.1,6,275.55
98.7,5,1,6.4,20.9,8,205.66
61.0,5,2,8.0,3.7,1,207.7
84.7,1,2,14.2,23.0,5,187.95
206.5,2,4,24.6,16.3,9,330.91
181.0,4,3,3.9,12.5,6,335.88
147.9,3,3,8.2,13.8,10,313.96
50.5,2,2,17.1,23.7,4,87.57
165.5,1,2,27.0,13.0,1,177.84
219.9,3,4,25.5,7.3,8,344.4
222.4,5,4,19.9,14.2,2,332.6
160.0,1,2,7.6,5.2,4,283.62
55.1,1,3,9.1,13.7,4,147.43
241.3,3,4,6.3,5.1,3,386.95
140.1,4,2,12.8,12.6,2,253.32
184.1,3,3,12.7,9.9,3,301.81
190.2,5,2,11.2,12.8,1,247.83
217.5,2,1,15.0,21.1,6,248.2
212.1,3,3,15.5,18.1,1,261.18
242.0,2,2,23.5,18.6,3,253.53
89.3,3,3,26.4,8.8,1,171.41
102.5,2,3,7.5,19.3,3,201.31
